NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,URSGALLDAT,SENGALLDAT,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND
2042887,Storbacken,Naturreservat,Gällande,"""2014-11-25T00:00:00.000Z""","""2014-12-19T00:00:00.000Z""","""2014-12-19T00:00:00.000Z""",Västernorrlands Län,Timrå,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Västernorrlands län,62.63,62.1,0,60.644,Slutligt inmätt,511-1066-14,Miljöbalken,Länsstyrelse
2002459,Södra Trollegrav,Naturreservat,Gällande,"""1996-09-02T00:00:00.000Z""","""1996-10-01T00:00:00.000Z""","""1996-10-01T00:00:00.000Z""",Dalarnas Län,Älvdalen,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Dalarnas län,154.64,147.63,7.08,129.379,Justerad mot fastighetskarta,231-2892-96,Naturvårdslagen,Länsstyrelse
2014566,Gönhammaren,Naturreservat,Gällande,"""2009-12-09T00:00:00.000Z""","""2010-01-09T00:00:00.000Z""","""2010-01-09T00:00:00.000Z""",Gävleborgs Län,Ljusdal,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Gävleborgs län,30.95,29.19,1.73,18.497,Slutligt inmätt,"511-1796-09, 61-256",Miljöbalken,Länsstyrelse
2013424,Korantberget,Naturreservat,Gällande,"""2007-11-19T00:00:00.000Z""","""2007-12-31T00:00:00.000Z""","""2007-12-31T00:00:00.000Z""",Dalarnas Län,Leksand,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Dalarnas län,210.97,209.27,1.7,202.285,Slutligt inmätt,511-14382-05 / inget,Miljöbalken,Länsstyrelse
2002539,Edskärret,Naturreservat,Gällande,"""1986-05-16T00:00:00.000Z""","""1986-06-13T00:00:00.000Z""","""2014-01-14T00:00:00.000Z""",Uppsala Län,Östhammar,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Uppsala län,14.14,14.18,0,13.819,Slutligt inmätt,511-5739-11,Miljöbalken,Länsstyrelse
2000924,Nysätern,Naturreservat,Gällande,"""1992-10-22T00:00:00.000Z""","""1992-10-22T00:00:00.000Z""","""1992-10-22T00:00:00.000Z""",Jämtlands Län,Härjedalen,"Ia, Strikt naturreservat (Strict Nature Reserve)",Naturvårdsverket,430.98,430.97,0,0.777,Justerad mot fastighetskarta,"231-146-89,231-11059-89, Reg M90/902/4",Naturvårdslagen,Länsstyrelse
2001673,Bjuren,Naturreservat,Gällande,"""1972-08-08T00:00:00.000Z""","""1972-09-25T00:00:00.000Z""","""1972-09-25T00:00:00.000Z""",Västerbottens Län,Umeå,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Västerbottens län,295.98,36.58,259.39,24.047,Ospecificerad,"11.121-2781-72,11.131-254-81 / Ej formellt ärende",Naturvårdslagen,Länsstyrelse
2004511,Stolpaberg,Naturreservat,Gällande,"""2006-03-17T00:00:00.000Z""","""2006-04-18T00:00:00.000Z""","""2006-04-18T00:00:00.000Z""",Jönköpings Län,Vetlanda,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Jönköpings län,121.93,120.91,0.96,114.247,Slutligt inmätt,511-7115-04,Miljöbalken,Länsstyrelse
2001792,Prästaskogen,Naturreservat,Gällande,"""2003-12-15T00:00:00.000Z""","""2004-01-30T00:00:00.000Z""","""2004-01-30T00:00:00.000Z""",Skåne Län,Svedala,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Skåne län,50.42,50.38,0,41.233,Slutligt inmätt,"511-27950-03, 511-60544-03",Miljöbalken,Länsstyrelse
2002420,Bergvattsdalen,Naturreservat,Gällande,"""2003-02-18T00:00:00.000Z""","""2003-04-23T00:00:00.000Z""","""2003-04-23T00:00:00.000Z""",Värmlands Län,Årjäng,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Värmlands län,24.78,24.79,0,24.714,Slutligt inmätt,511-2271-01 / 511 / 511-2,Miljöbalken,Länsstyrelse
